County,Years,GCP
HOMA BAY,2015,76973
ISIOLO,2015,16623
KAJIADO,2015,93363
KAKAMEGA,2015,134493
KERICHO,2015,107483
KIAMBU,2015,379163
KILIFI,2015,140018
KIRINYAGA,2015,82852
KISII,2015,124285
KISUMU,2015,162500
KITUI,2015,82809
KWALE,2015,69230
LAIKIPIA,2015,57265
LAMU,2015,20555
MACHAKOS,2015,233910
MAKUENI,2015,70965
MANDERA,2015,31990
MARSABIT,2015,33502
MERU,2015,199076
MIGORI,2015,75724
MOMBASA,2015,329262
MURANGA,2015,128486
NAIROBI,2015,1733377
NAKURU,2015,321433
NANDI,2015,97175
NAROK,2015,97661
NYAMIRA,2015,65889
NYANDARUA,2015,83756
NYERI,2015,132022
SAMBURU,2015,18241
SIAYA,2015,64904
TAITA TAVETA,2015,40677
TANA RIVER,2015,21051
THARAKA NITHI,2015,36589
TRANS NZOIA,2015,97577
TURKANA,2015,66403
UASIN GISHU,2015,149902
VIHIGA,2015,47227
WAJIR,2015,33043
WEST POKOT,2015,44695
BARINGO,2016,51259
BOMET,2016,100542
BUNGOMA,2016,137028
BUSIA,2016,57251
ELGEYO MARAKWET,2016,57669
EMBU,2016,110119
GARISSA,2016,42043
HOMA BAY,2016,82914
ISIOLO,2016,17834
KAJIADO,2016,107862
KAKAMEGA,2016,153745
KERICHO,2016,113543
KIAMBU,2016,416982
KILIFI,2016,147927
KIRINYAGA,2016,91586
KISII,2016,140528
KISUMU,2016,173966
KITUI,2016,81962
KWALE,2016,76614
LAIKIPIA,2016,67338
LAMU,2016,21762
MACHAKOS,2016,241041
MAKUENI,2016,76949
MANDERA,2016,34585
MARSABIT,2016,36260
MERU,2016,219479
MIGORI,2016,77859
MOMBASA,2016,360583
MURANGA,2016,141455
NAIROBI,2016,1913903
NAKURU,2016,365966
NANDI,2016,107066
NAROK,2016,110535
NYAMIRA,2016,75371
NYANDARUA,2016,94845
NYERI,2016,146215
SAMBURU,2016,20885
SIAYA,2016,66795
TAITA TAVETA,2016,44757
TANA RIVER,2016,20381
THARAKA NITHI,2016,40663
TRANS NZOIA,2016,104333
TURKANA,2016,69000
UASIN GISHU,2016,165347
VIHIGA,2016,54045
WAJIR,2016,35897
WEST POKOT,2016,51967
BARINGO,2017,59403
BOMET,2017,120512
BUNGOMA,2017,163810
BUSIA,2017,64007
ELGEYO MARAKWET,2017,70844
EMBU,2017,119393
GARISSA,2017,44901
HOMA BAY,2017,95138
ISIOLO,2017,19441
KAJIADO,2017,113464
KAKAMEGA,2017,172060
KERICHO,2017,134951
KIAMBU,2017,457309
KILIFI,2017,162766
KIRINYAGA,2017,107410
KISII,2017,165092
KISUMU,2017,196956
KITUI,2017,93698
KWALE,2017,90621
LAIKIPIA,2017,72070
LAMU,2017,25262
MACHAKOS,2017,255999
MAKUENI,2017,84440
MANDERA,2017,37159
MARSABIT,2017,36770
MERU,2017,245618
MIGORI,2017,96610
MOMBASA,2017,401393
MURANGA,2017,155172
NAIROBI,2017,2136097
NAKURU,2017,381200
NANDI,2017,123863
NAROK,2017,132231
NYAMIRA,2017,87429
NYANDARUA,2017,116560
NYERI,2017,160013
SAMBURU,2017,21670
SIAYA,2017,78069
TAITA TAVETA,2017,49589
TANA RIVER,2017,21095
THARAKA NITHI,2017,46834
TRANS NZOIA,2017,121646
TURKANA,2017,75379
UASIN GISHU,2017,188441
VIHIGA,2017,59954
WAJIR,2017,39367
WEST POKOT,2017,52618
BARINGO,2018,61894
BOMET,2018,133969
BUNGOMA,2018,177336
BUSIA,2018,71210
ELGEYO MARAKWET,2018,88863
EMBU,2018,134488
GARISSA,2018,51491
HOMA BAY,2018,107041
ISIOLO,2018,22668
KAJIADO,2018,129862
KAKAMEGA,2018,186943
KERICHO,2018,145575
KIAMBU,2018,485980
KILIFI,2018,177795
KIRINYAGA,2018,109636
KISII,2018,171748
KISUMU,2018,218443
KITUI,2018,108868
KWALE,2018,100084
LAIKIPIA,2018,80913
LAMU,2018,29032
MACHAKOS,2018,281256
MAKUENI,2018,97112
MANDERA,2018,44123
MARSABIT,2018,43207
MERU,2018,266532
MIGORI,2018,104271
MOMBASA,2018,435527
MURANGA,2018,166679
NAIROBI,2018,2362505
NAKURU,2018,411565
NANDI,2018,137891
NAROK,2018,144118
NYAMIRA,2018,100846
NYANDARUA,2018,118231
NYERI,2018,170042
SAMBURU,2018,24177
SIAYA,2018,88306
TAITA TAVETA,2018,54640
TANA RIVER,2018,23567
THARAKA NITHI,2018,52405
TRANS NZOIA,2018,144331
TURKANA,2018,90657
UASIN GISHU,2018,204757
VIHIGA,2018,68644
WAJIR,2018,42654
WEST POKOT,2018,59617
BARINGO,2019,71544
BOMET,2019,137691
BUNGOMA,2019,193711
BUSIA,2019,83280
ELGEYO MARAKWET,2019,104844
EMBU,2019,138867
GARISSA,2019,54939
HOMA BAY,2019,115057
ISIOLO,2019,25117
KAJIADO,2019,143199
KAKAMEGA,2019,203904
KERICHO,2019,152420
KIAMBU,2019,532498
KILIFI,2019,199179
KIRINYAGA,2019,123676
KISII,2019,185041
KISUMU,2019,238564
KITUI,2019,127567
KWALE,2019,108658
LAIKIPIA,2019,88501
LAMU,2019,32338
MACHAKOS,2019,297350
MAKUENI,2019,109383
MANDERA,2019,51056
MARSABIT,2019,56711
MERU,2019,316093
MIGORI,2019,114770
MOMBASA,2019,469584
MURANGA,2019,180780
NAIROBI,2019,2586926
NAKURU,2019,461636
NANDI,2019,140534
NAROK,2019,156813
NYAMIRA,2019,108286
NYANDARUA,2019,140734
NYERI,2019,193645
SAMBURU,2019,28158
SIAYA,2019,99092
TAITA TAVETA,2019,60879
TANA RIVER,2019,27627
THARAKA NITHI,2019,56281
TRANS NZOIA,2019,151566
TURKANA,2019,102987
UASIN GISHU,2019,224099
VIHIGA,2019,78080
WAJIR,2019,47473
WEST POKOT,2019,68726
BARINGO,2020,76636
BOMET,2020,152744
BUNGOMA,2020,206705
BUSIA,2020,90817
ELGEYO MARAKWET,2020,117047
EMBU,2020,153927
GARISSA,2020,59910
HOMA BAY,2020,122198
ISIOLO,2020,26558
KAJIADO,2020,150413
KAKAMEGA,2020,214068
KERICHO,2020,164714
KIAMBU,2020,553312
KILIFI,2020,204172
KIRINYAGA,2020,130263
KISII,2020,199333
KISUMU,2020,249440
KITUI,2020,136380
KWALE,2020,119666
LAIKIPIA,2020,94810
LAMU,2020,32857
MACHAKOS,2020,313559
MAKUENI,2020,111071
MANDERA,2020,58925
MARSABIT,2020,61434
MERU,2020,345319
MIGORI,2020,121106
MOMBASA,2020,467395
MURANGA,2020,200682
NAIROBI,2020,2669829
NAKURU,2020,480539
NANDI,2020,150753
NAROK,2020,166662
NYAMIRA,2020,118792
NYANDARUA,2020,150062
NYERI,2020,210393
SAMBURU,2020,29211
SIAYA,2020,106259
TAITA TAVETA,2020,63564
TANA RIVER,2020,29866
THARAKA NITHI,2020,61957
TRANS NZOIA,2020,165121
TURKANA,2020,109101
UASIN GISHU,2020,228846
VIHIGA,2020,85407
WAJIR,2020,49816
WEST POKOT,2020,80546
